LON,LAT,EDO,CLAVE,ESTACION,01/07/18,,,,,
-101.33,27.92,COAH,NUEVAROSITA,"Nueva Rosita, Coah. SMN*",24.3,,,,,
-102.181667,25.440833,COAH,PARCL,"Parras, Coah.",9.4,,,,,
-100.5325,28.706667,COAH,PNGCL,"Piedras Negras, Coah.",48.9,,,,,
-101.002222,27.422222,COAH,PRSCL,"Progreso, Coah.",57.0,,,,,
-100.575556,25.273333,COAH,SAACL,"San Antonio de las Alazanas, Coah.",96.0,,,,,
-101.016667,25.376389,COAH,SALCL,"Observatorio de Saltillo, Coah.",32.4,,,,,
-101.122778,27.846667,COAH,SBNCL,"Sabinas, Coah.",80.0,,,,,
-100.953889,29.034167,COAH,SMGCL,"San Miguel, Coah.",77.0,,,,,
-103.699722,27.285278,COAH,SMJCL,"Sierra Mojada, Coah.",7.1,,,,,
-102.979444,25.7575,COAH,SPECL,"San Pedro, Coah.",4.7,,,,,
-101.016667,25.376389,COAH,STOCL,"Saltillo, Coah.",10.4,,,,,
-103.45,25.541667,COAH,TORCL,"Observatorio de TorreÛn, Coah.",18.0,,,,,
-100.616111,27.515,COAH,VCRCL,"Venustiano Carranza, Coah.",48.0,,,,,
-100.898889,29.033889,COAH,ZPTCL,"Zapata, Coah.",85.0,,,,,
-103.611389,19.248611,COL,BVSCM,"Buena Vista, Col.",99.0,,,,,
-103.723611,18.754722,COL,CDOCM,"Cerro de Ortega, Col.",18.2,,,,,
-103.702778,19.295,COL,CHNCM,"El Chanal, Col.",96.2,,,,,
-103.6325,18.813056,COL,CLLCM,"Callejones, Col.",31.4,,,,,
-103.757222,19.3175,COL,CMLCM,"Comala, Col.",60.8,,,,,
-103.804167,19.2125,COL,CQMCM,"Coquimatl·n, Col.",111.0,,,,,
-103.6,19.325,COL,CUACM,"CuauhtÈmoc, Col.",53.9,,,,,
-103.884444,19.111389,COL,DJLCM,"Derivadora Jala (Madrid), Col.",52.9,,,,,
-103.866389,19.17,COL,LAECM,"La Esperanza, Col.",98.2,,,,,
-103.774167,18.809167,COL,LDACM,"Laguna de Amela, Col.",19.4,,,,,
-103.725278,19.223333,COL,LPSCM,"La Posta, Col.",149.7,,,,,
-104.297778,19.069167,COL,MANZANILLOmar,"Manzanillo, Col. SEMAR*",73.5,,,,,
-104.318333,19.044444,COL,MNZCM,"Manzanillo, Col.",78.4,,,,,
-103.816667,19.266667,COL,PNTCM,"PeÒitas, Col.",57.7,,,,,
-103.725278,19.223333,COL,RDRCM,"Radar, Col.",108.5,,,,,
-103.700833,19.408333,COL,SCHCM,"Suchitl·n, Col.",45.4,,,,,
-103.9175,19.463611,COL,SMANANTLANI,"Sierra Manatl·n 1, Col. SMN*",84.0,,,,,
-103.882778,18.925556,COL,TCMCM,"Tecom·n, Col.",65.0,,,,,
-103.396667,18.967222,COL,TRJCM,"Solidaridad, Col.",134.2,,,,,
-103.663333,19.2775,COL,TRPCM,"Trapiche, Col.",107.5,,,,,
-99.210278,19.218611,DF,AJSDF,"Ajusco, Cd. de MÈx.",124.2,,,,,
-99.171667,19.453333,DF,CBIDF,"Escuela Naional de Ciencias BiolÛgicas IPN, Cd. de MÈx. SMN*",75.3,,,,,
-99.180556,19.346667,DF,CCUDF,"Centro Universitario, Cd. de MÈx.",124.2,,,,,
-98.999444,19.357222,DF,CDMDF,"C·rcel de Mujeres, Cd. de MÈx.",80.0,,,,,
-99.1125,19.407778,DF,CDVDF,"Ciudad Deportiva, Cd. de MÈx.",99.3,,,,,
-99.1375,19.516667,DF,CEADF,"Campamento Amealco, Cd. de MÈx.",113.7,,,,,
-99.208333,19.155556,DF,CFSDF,"Caseta Forestal, Cd. de MÈx.",207.0,,,,,
-99.1375,19.469722,DF,CMTDF,"Cien Metros, Cd. de MÈx.",94.0,,,,,
-99.183333,19.486389,DF,CMYDF,"Campamento Mecoaya, Cd. de MÈx.",110.7,,,,,
-99.19,19.3375,DF,CONAGUAOFC,"Conagua Oficinas Centrales, Cd. de Mex. SGT*",104.0,,,,,
-99.09,19.190278,DF,CTNDF,"San Salvador Cuautenco, Cd. de MÈx.",57.4,,,,,
-99.09,19.484167,DF,CYLDF,"Coyol, Cd. de MÈx.",104.6,,,,,
-99.205,19.3,DF,DATDF,"DesviaciÛn Alta, Cd. de MÈx.",45.0,,,,,
-99.131389,19.431111,DF,DDFDF,"Gobierno del D.F., Cd. de MÈx.",99.8,,,,,
-99.309167,19.313333,DF,DTLDF,"Desierto de los Leones, Cd. de MÈx.",123.7,,,,,
-99.15,19.383333,DF,DVLDF,"Del Valle, Cd. de MÈx.",62.2,,,,,
-99.151944,19.300556,DF,EAZDF,"Estadio Azteca, Cd. de MÈx.",168.4,,,,,
-99.129722,19.42,DF,ENP7,"Escuela Nacional Preparatoria 7, Cd. de MÈx. UNAM*",63.0,,,,,
-99.286389,19.3625,DF,EYQDF,"El Yaqui, Cd. de MÈx.",199.6,,,,,
-99.352222,19.295,DF,EZCDF,"El Zarco, Cd. de MÈx.",127.4,,,,,
-99.091667,19.478056,DF,GCNDF,"km 6+250 (Gran Canal), Cd. de MÈx.",113.4,,,,,
-99.2625,19.308056,DF,HYTDF,"Huayatla, Cd. de MÈx.",101.3,,,,,
-99.066667,19.377778,DF,LU4DF,"Lumbrera 4 RÌos, Cd. de MÈx.",42.4,,,,,
-99.3,19.340556,DF,LVNDF,"La Venta, Cd. de MÈx.",183.8,,,,,
-99.283333,19.216667,DF,MAGDF,"Monte Alegre, Cd. de MÈx.",197.6,,,,,
-99.133889,19.403333,DF,MCRDF,"Marcos Carrillo, Cd. de MÈx.",106.4,,,,,
-99.026944,19.187222,DF,MLPDF,"Milpa Alta, Cd. de MÈx.",35.8,,,,,
-99.233056,19.187778,DF,MZTDF,"Calle Mezontepec (Abasolo), Cd. de MÈx.",80.8,,,,,
-99.096389,19.316389,DF,OCSDF,"Organismo de Cuenca AVM Sur, Cd. de MÈx.",111.1,,,,,
-99.100278,19.379167,DF,PBADF,"Planta de Bombeo Aculco, Cd. de MÈx.",38.6,,,,,
-99.057778,19.433333,DF,PBCDF,"Planta de Bombeo Churubusco L., Cd. de MÈx.",79.2,,,,,
-99.119444,19.486667,DF,PBLDF,"Planta de Bombeo Lindavista, Cd. de MÈx.",104.1,,,,,
-99.037778,19.38,DF,PBODF,"Planta de Bombeo U. E. de Oriente, Cd. de MÈx.",60.7,,,,,
-99.170556,19.435556,DF,PBTDF,"Planta de Bombeo Tizoc, Cd. de MÈx.",76.2,,,,,
-99.2,19.413056,DF,PCHDF,"Puerta Chapultepec, Cd. de MÈx.",107.2,,,,,
-99.097222,19.455833,DF,PGNDF,"Planta Generadora 101, Cd. de MÈx.",112.0,,,,,
-99.076389,19.336944,DF,PLEDF,"Planta de Tratamiento La Estrella, Cd. de MÈx.",62.5,,,,,
-99.068333,19.420278,DF,PLMDF,"Planta de Bombeo LÛpez Mateos, Cd. de MÈx.",68.6,,,,,
-99.126389,19.365278,DF,PMLDF,"Planta de Bombeo Municipio Libre, Cd. de MÈx.",109.7,,,,,
-99.090833,19.246389,DF,PNTDF,"Planta Nativitas, Cd. de MÈx.",87.1,,,,,
-99.154444,19.513056,DF,PRMDF,"Planta de Tratamiento RÌo Magdalena, Cd. de MÈx.",115.8,,,,,
-99.154444,19.513056,DF,PRRDF,"Planta de Tratamiento RÌo Remedios, Cd. de MÈx.",109.0,,,,,
-99.023056,19.299167,DF,PSCDF,"Planta de Tratamiento Santa Catarina, Cd. de MÈx.",70.3,,,,,
-99.05,19.233333,DF,PSLDF,"Planta San Luis, Cd. de MÈx.",46.7,,,,,
-99.163889,19.468889,DF,PSNDF,"Planta de Bombeo Nueva Santa MarÌa, Cd. de MÈx.",107.9,,,,,
-99.171111,19.263056,DF,PSPDF,"Pueblo San Pedro M·rtir, Cd. de MÈx.",82.8,,,,,
-99.190278,19.509167,DF,PTRDF,"Planta de Tratamiento Rosario, Cd. de MÈx.",97.8,,,,,
-99.126111,19.285833,DF,PVCDF,"Planta de Bombeo Villa Coapa, Cd. de MÈx.",112.3,,,,,
-99.143056,19.331944,DF,PXTDF,"Planta Xotepingo, Cd. de MÈx.",122.7,,,,,
-99.194167,19.296111,DF,RBTDF,"Rebombeo Bosque Tlalpan, Cd. de MÈx.",148.1,,,,,
